"inspection_id","region","year.y","risk_category","lat","long","popInfo"
831680,"nw",2016,"3",38.898313,-77.02962,"831680 <br> nw <br> 3 <br>"
200544,"se",2013,"3",38.877531,-76.99497,"200544 <br> se <br> 3 <br>"
136611,"nw",2012,"3",38.965241,-77.01624,"136611 <br> nw <br> 3 <br>"
821920,"nw",2016,"4",38.900486,-77.031884,"821920 <br> nw <br> 4 <br>"
94185,"nw",2011,"3",38.92359,-77.051459,"94185 <br> nw <br> 3 <br>"
813257,"sw",2015,"3",38.887318,-77.017553,"813257 <br> sw <br> 3 <br>"
611652,"nw",2015,"3",38.898502,-77.021989,"611652 <br> nw <br> 3 <br>"
607501,"nw",2015,"3",38.903916,-77.053862,"607501 <br> nw <br> 3 <br>"
405413,"nw",2014,"3",38.953034,-77.027509,"405413 <br> nw <br> 3 <br>"
833542,"ne",2016,"3",38.902096,-77.050531,"833542 <br> ne <br> 3 <br>"
202159,"sw",2014,"4",38.878312,-77.023106,"202159 <br> sw <br> 4 <br>"
838590,"sw",2017,"3",38.873858,-76.969887,"838590 <br> sw <br> 3 <br>"
142205,"nw",2012,"3",38.906499,-77.044816,"142205 <br> nw <br> 3 <br>"
821439,"nw",2016,"3",38.898314,-77.033644,"821439 <br> nw <br> 3 <br>"
812350,"nw",2015,"3",38.930935,-77.031061,"812350 <br> nw <br> 3 <br>"
832982,"nw",2016,"3",38.910313,-77.043512,"832982 <br> nw <br> 3 <br>"
835798,"ne",2017,"3",38.93056,-76.977953,"835798 <br> ne <br> 3 <br>"
834494,"se",2017,"4",38.885708,-76.998453,"834494 <br> se <br> 4 <br>"
204388,"nw",2014,"3",38.896792,-77.029551,"204388 <br> nw <br> 3 <br>"
203403,"nw",2014,"3",38.905728,-77.041853,"203403 <br> nw <br> 3 <br>"
607812,"nw",2015,"3",38.898391,-77.032462,"607812 <br> nw <br> 3 <br>"
94218,"nw",2012,"3",38.899445,-77.028008,"94218 <br> nw <br> 3 <br>"
823636,"nw",2016,"3",38.894444,-77.026001,"823636 <br> nw <br> 3 <br>"
814234,"ne",2015,"3",38.904758,-76.994897,"814234 <br> ne <br> 3 <br>"
102205,"nw",2011,"3",38.900822,-76.985664,"102205 <br> nw <br> 3 <br>"
183777,"nw",2013,"3",38.916925,-77.030514,"183777 <br> nw <br> 3 <br>"
825272,"nw",2016,"4",38.904807,-77.056668,"825272 <br> nw <br> 4 <br>"
811835,"nw",2015,"3",38.947346,-77.032801,"811835 <br> nw <br> 3 <br>"
836829,"nw",2017,"3",38.90899,-77.02696,"836829 <br> nw <br> 3 <br>"
8485,"nw",2010,"3",38.935566,-77.058509,"8485 <br> nw <br> 3 <br>"
833735,"nw",2016,"4",38.948447,-77.078824,"833735 <br> nw <br> 4 <br>"
204094,"nw",2014,"3",38.929106,-77.037565,"204094 <br> nw <br> 3 <br>"
201593,"nw",2014,"3",38.896372,-77.009132,"201593 <br> nw <br> 3 <br>"
183283,"ne",2013,"3",38.900275,-76.989841,"183283 <br> ne <br> 3 <br>"
7250,"nw",2010,"3",38.89992,-77.02199,"7250 <br> nw <br> 3 <br>"
168542,"sw",2012,"4",38.884191,-77.029151,"168542 <br> sw <br> 4 <br>"
142364,"ne",2012,"3",38.89732,-77.008425,"142364 <br> ne <br> 3 <br>"
835395,"nw",2017,"4",38.89504,-77.02199,"835395 <br> nw <br> 4 <br>"
825332,"nw",2016,"3",38.94869,-77.080033,"825332 <br> nw <br> 3 <br>"
839223,"se",2017,"3",38.879341,-76.982988,"839223 <br> se <br> 3 <br>"
607079,"ne",2015,"3",38.942159,-77.000919,"607079 <br> ne <br> 3 <br>"
119321,"nw",2014,"3",38.901411,-77.04369,"119321 <br> nw <br> 3 <br>"
826403,"se",2016,"3",38.90728,-77.000793,"826403 <br> se <br> 3 <br>"
606954,"nw",2015,"3",38.895447,-77.029632,"606954 <br> nw <br> 3 <br>"
183484,"nw",2013,"3",38.894044,-77.021551,"183484 <br> nw <br> 3 <br>"
404946,"nw",2014,"3",38.920319,-77.022034,"404946 <br> nw <br> 3 <br>"
201387,"nw",2014,"3",38.901271,-77.026541,"201387 <br> nw <br> 3 <br>"
837285,"nw",2017,"3",38.897419,-77.029818,"837285 <br> nw <br> 3 <br>"
203165,"ne",2014,"3",38.894779,-77.002461,"203165 <br> ne <br> 3 <br>"
153357,"nw",2013,"3",38.898314,-77.033644,"153357 <br> nw <br> 3 <br>"
183268,"nw",2013,"3",38.936381,-77.032806,"183268 <br> nw <br> 3 <br>"
832927,"nw",2016,"3",38.905088,-77.063317,"832927 <br> nw <br> 3 <br>"
843936,"nw",2017,"3",38.933567,-77.057421,"843936 <br> nw <br> 3 <br>"
812056,"nw",2015,"3",38.901337,-77.031962,"812056 <br> nw <br> 3 <br>"
606149,"nw",2014,"3",38.903818,-77.042036,"606149 <br> nw <br> 3 <br>"
830751,"ne",2016,"3",38.89701,-76.961181,"830751 <br> ne <br> 3 <br>"
812213,"se",2015,"3",38.887115,-77.002054,"812213 <br> se <br> 3 <br>"
199776,"nw",2013,"3",38.89726,-77.024088,"199776 <br> nw <br> 3 <br>"
839073,"nw",2017,"3",38.902622,-77.059107,"839073 <br> nw <br> 3 <br>"
610182,"ne",2015,"3",38.925935,-76.983025,"610182 <br> ne <br> 3 <br>"
203048,"nw",2014,"4",38.948447,-77.078824,"203048 <br> nw <br> 4 <br>"
836712,"ne",2017,"3",38.900275,-76.991363,"836712 <br> ne <br> 3 <br>"
831645,"nw",2016,"3",38.90021,-77.041699,"831645 <br> nw <br> 3 <br>"
202882,"nw",2014,"3",38.892082,-77.013638,"202882 <br> nw <br> 3 <br>"
136837,"sw",2013,"3",38.88433,-77.028117,"136837 <br> sw <br> 3 <br>"
610248,"nw",2015,"3",38.896133,-77.023964,"610248 <br> nw <br> 3 <br>"
198919,"nw",2013,"3",38.90134,-77.039447,"198919 <br> nw <br> 3 <br>"
9300,"nw",2010,"3",38.925626,-77.038108,"9300 <br> nw <br> 3 <br>"
155476,"nw",2012,"3",38.902671,-77.03203,"155476 <br> nw <br> 3 <br>"
834975,"nw",2017,"3",38.899809,-77.023964,"834975 <br> nw <br> 3 <br>"
198282,"nw",2013,"4",38.900298,-77.033567,"198282 <br> nw <br> 4 <br>"
116537,"nw",2012,"3",38.892759,-77.019899,"116537 <br> nw <br> 3 <br>"
122205,"nw",2011,"4",38.892564,-77.013559,"122205 <br> nw <br> 4 <br>"
890781,"se",2017,"3",38.885065,-77.005893,"890781 <br> se <br> 3 <br>"
811506,"nw",2015,"5",38.90526,-77.051407,"811506 <br> nw <br> 5 <br>"
834402,"ne",2017,"3",38.889875,-76.983502,"834402 <br> ne <br> 3 <br>"
142647,"nw",2012,"3",38.905727,-77.041921,"142647 <br> nw <br> 3 <br>"
835028,"ne",2017,"4",38.89732,-77.008425,"835028 <br> ne <br> 4 <br>"
199902,"nw",2013,"3",38.93341,-77.072594,"199902 <br> nw <br> 3 <br>"
835489,"nw",2017,"3",38.929343,-77.037639,"835489 <br> nw <br> 3 <br>"
824664,"nw",2016,"3",38.903125,-77.039701,"824664 <br> nw <br> 3 <br>"
834664,"nw",2017,"3",38.945494,-77.078324,"834664 <br> nw <br> 3 <br>"
837120,"nw",2017,"3",38.8936,-77.022961,"837120 <br> nw <br> 3 <br>"
8490,"ne",2010,"3",38.89732,-77.008425,"8490 <br> ne <br> 3 <br>"
169074,"nw",2013,"3",38.921059,-77.042072,"169074 <br> nw <br> 3 <br>"
819844,"nw",2015,"5",38.917805,-77.021821,"819844 <br> nw <br> 5 <br>"
9674,"nw",2010,"3",38.905654,-77.041686,"9674 <br> nw <br> 3 <br>"
836082,"nw",2017,"3",38.947198,-77.079178,"836082 <br> nw <br> 3 <br>"
834072,"nw",2016,"3",38.905728,-77.042315,"834072 <br> nw <br> 3 <br>"
824889,"nw",2016,"3",38.959041,-77.084846,"824889 <br> nw <br> 3 <br>"
831692,"nw",2016,"3",38.901261,-77.040893,"831692 <br> nw <br> 3 <br>"
204872,"nw",2014,"3",38.898232,-77.056348,"204872 <br> nw <br> 3 <br>"
108190,"nw",2012,"5",38.951982,-77.027366,"108190 <br> nw <br> 5 <br>"
606169,"nw",2014,"3",38.89824,-77.041106,"606169 <br> nw <br> 3 <br>"
